Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1259,2.0,0.3482,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",omnet++ Inet - Simulating dynamic access point behaviour
1260,6.0,0.2875,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",omnetpp: Are gate names global?
1261,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to get gate names for ned.DatarateChannel
1262,5.0,0.3764,"omnet, inet, make, project, build, link, error, library, fail, command",How to use LEDA graph library on Omnet++ projects?
1263,1.0,0.2083,"file, set, parameter, number, module, trace, generate, script, random, position",Omnet++ : How to get the output gate from an inout gate?
1264,1.0,0.2875,"file, set, parameter, number, module, trace, generate, script, random, position",omnetpp: reading module parameters
1265,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",What does this code do in ns2?
1266,4.0,0.2208,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",omnet++: Dynamic channel creation
1267,4.0,0.2083,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",omnet++: Configuring logging
1268,2.0,0.2207,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",ns2 cannot connect to existing nam instance
1269,7.0,0.4519,"implement, find, add, function, route, code, class, type, program, call",omnet++ : how to rebuild added source codes to existing class?
1270,5.0,0.2701,"omnet, inet, make, project, build, link, error, library, fail, command",How to model simple Schedular using Omnet++
1271,0.0,0.1933,"packet, message, send, node, receive, application, multiple, datum, specific, server","Explain network congestion and packet loss using NS, NAM and XGRAPH"
1272,1.0,0.2614,"file, set, parameter, number, module, trace, generate, script, random, position",why omnet++ version 5 ned file suddenly corrupted
1273,7.0,0.2297,"implement, find, add, function, route, code, class, type, program, call",opp_runall -q runnumbers returned nonzero exit status omnet++
1274,0.0,0.3542,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to attach more than one agent to a node in tcl ns2?
1275,3.0,0.3137,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",speed of vechile in veins increases slowly
1276,0.0,0.2639,"packet, message, send, node, receive, application, multiple, datum, specific, server",Veins delay does not change with beacon frequency or number of nodes
1277,5.0,0.3624,"omnet, inet, make, project, build, link, error, library, fail, command",Linking with NS3 module with circular dependency to other library
1278,7.0,0.2614,"implement, find, add, function, route, code, class, type, program, call",How to implement Intrusion Detection System in NS2 ?
1279,3.0,0.2875,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Regarding Messages in Veins
1280,1.0,0.2083,"file, set, parameter, number, module, trace, generate, script, random, position",NS-2.34 DYMO patch
1281,6.0,0.3875,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",omnet++ installation error in windows 7
1282,6.0,0.3071,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",omnet++ installation error in ubuntu 14.04
1283,5.0,0.2083,"omnet, inet, make, project, build, link, error, library, fail, command",Inet Socket Omnet++
1284,0.0,0.3875,"packet, message, send, node, receive, application, multiple, datum, specific, server",Send message only once instead of periodically
1285,2.0,0.1713,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Choosing between OMNET++ or NS3
1286,3.0,0.2614,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Difference between getCurrentPosition() and getPositionAt(time) in Veins
1287,5.0,0.3097,"omnet, inet, make, project, build, link, error, library, fail, command",OMNeT++ 5.1 FATAL: opplibs.dll: Cant find dependent libraries
1288,0.0,0.2083,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to efficiently place RSUs of a SUMO scenario in OMNeT++?
1289,6.0,0.3194,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Errors while building ns-3 on Ubuntu 16.10
1290,5.0,0.1933,"omnet, inet, make, project, build, link, error, library, fail, command",How to get total service time of all servers in Omnet++?
1291,7.0,0.2875,"implement, find, add, function, route, code, class, type, program, call",Ns2 Program in Fedora (simulation program is not running)
1292,4.0,0.3403,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Compare SDN Mininet results to traditional network results
1293,5.0,0.2083,"omnet, inet, make, project, build, link, error, library, fail, command",add waf libraries to pycharm
1294,0.0,0.1875,"packet, message, send, node, receive, application, multiple, datum, specific, server",Why is the number of SNIRLostPackets so large?
1295,2.0,0.322,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Create a Wireless Link between 8 nodes in ns3
1296,4.0,0.3137,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",OMNeT++: Different results for simulation repetition using the same seed
1297,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",What exactly does handleParkingUpdate() do?
1298,0.0,0.2396,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to make module send a message from another module OMNet++
1299,1.0,0.2875,"file, set, parameter, number, module, trace, generate, script, random, position",Modifying the operating frequency (for 802.11ac) on ns-3
1300,7.0,0.2875,"implement, find, add, function, route, code, class, type, program, call",How should i find size in OMNet++?
1301,6.0,0.3194,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",ns-3.26 2 module errors while building
1302,1.0,0.3692,"file, set, parameter, number, module, trace, generate, script, random, position",How to set position and orientation of nodes displayed in NAM using TCL code?
1303,1.0,0.1875,"file, set, parameter, number, module, trace, generate, script, random, position",How to use lpsolve in omnet++ simple modules
1304,4.0,0.3403,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",How to control the transmission power and speed based on the distance between two vehicles in Veins
1305,0.0,0.2951,"packet, message, send, node, receive, application, multiple, datum, specific, server",Sending ACKs from RSU to Nodes in Veins
1306,7.0,0.1836,"implement, find, add, function, route, code, class, type, program, call",How to Determinate the path cMessage in Omnet++?
1307,1.0,0.2083,"file, set, parameter, number, module, trace, generate, script, random, position",Precision float number
1308,7.0,0.2614,"implement, find, add, function, route, code, class, type, program, call",how to access length queue for each node in NS2
1309,6.0,0.3018,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Compiling Veins4.5 on Omnet++ 5.1 on ubuntu 14.04
1310,7.0,0.2211,"implement, find, add, function, route, code, class, type, program, call",Error: The edge entry within the route for normal is not known
1311,3.0,0.2083,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",how to get Frame Id in BaseWaveApplLayer class veins
1312,6.0,0.3229,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Qt package and configure.user file in ubuntu 16.04
1313,5.0,0.3875,"omnet, inet, make, project, build, link, error, library, fail, command",INET TCPSocket Omnet++
1314,1.0,0.2344,"file, set, parameter, number, module, trace, generate, script, random, position",buffer occupancy with awk script
1315,3.0,0.1875,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",In OMNeT++/SimuLTE is it possible to reassign bands?
1316,7.0,0.2083,"implement, find, add, function, route, code, class, type, program, call",how to understand this code from Random Waypoint model
1317,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",Connect Google Earth with Omnet++
1318,4.0,0.3875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Veins simulation running very slow
1319,0.0,0.2875,"packet, message, send, node, receive, application, multiple, datum, specific, server",ns3 packet payload printing
1320,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to use DatarateChannel connection?
1321,6.0,0.4432,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",NS 2 Installation error : narrowing conversion of 252 from int to char
1322,2.0,0.2319,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Multiple runs in omnet++ but with new network
1323,6.0,0.2895,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Destroying dynamically allocated memory in omnetpp responsibility
1324,7.0,0.4434,"implement, find, add, function, route, code, class, type, program, call",OMNET++: Class not Found --perhaps code is not linked or the class was not registered
1325,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",OMNET++ 5.1 opp_makemake
1326,7.0,0.4896,"implement, find, add, function, route, code, class, type, program, call",ASSERT: condition (intersectAt.size() % 2) == 0 false in function calculateAttenuation
1327,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",Crypto++ with Omnet++ on Windows
1328,1.0,0.1875,"file, set, parameter, number, module, trace, generate, script, random, position",ns2 DSR.tcl code is not running giving some error
1329,7.0,0.2344,"implement, find, add, function, route, code, class, type, program, call",How to implement MPR Algorithm in TCP using NS2(C++)?
1330,1.0,0.3694,"file, set, parameter, number, module, trace, generate, script, random, position",Creating random wired topology for given arbitrary number of nodes on NS2
1331,1.0,0.1875,"file, set, parameter, number, module, trace, generate, script, random, position",Omnet - How to run parameter case study
1332,7.0,0.3321,"implement, find, add, function, route, code, class, type, program, call",In omnet++ can handleMessage handle any class other than cMessage?
1333,4.0,0.2513,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",What happens to vehicles when they end their route?
1334,4.0,0.2981,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",how can i extract delay and throughput from manet-routing-compare.cc in ns3?
1335,5.0,0.2083,"omnet, inet, make, project, build, link, error, library, fail, command",OMNET++: Run simulation in command line
1336,2.0,0.2083,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",NS3 error while installing
1337,7.0,0.1788,"implement, find, add, function, route, code, class, type, program, call",TDMA and FDMA based slot assignment protocol in OMNeT++
1338,6.0,0.2764,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Veins Omnet++ building error
1339,6.0,0.196,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",parkingStateChanged signal emitted error
1340,6.0,0.3194,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Castlia 3.3 + omnetpp 4.6 on windows 7- permission denied
1341,1.0,0.1705,"file, set, parameter, number, module, trace, generate, script, random, position",How to set different role of node in INET like MiXiM
1342,3.0,0.3408,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",OMNeT++ & Veins steady state vehicle density
1343,3.0,0.4432,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Reduce the coverage area between vehicles
1344,0.0,0.245,"packet, message, send, node, receive, application, multiple, datum, specific, server",Generating data for MANET nodes location in a specific format using ns2 setdest
1345,2.0,0.2303,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Generating Location data for nodes in MANET for use in Machine Learning algorithms
1346,0.0,0.3194,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to send beacon with viens
1347,3.0,0.2083,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Plotting RSUs with GPS data in Veins
1348,1.0,0.2639,"file, set, parameter, number, module, trace, generate, script, random, position",Omnet++ adding c++ files to corresponding module in .net file
1349,3.0,0.3422,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Changing the speeds of vehicles at different times
1350,7.0,0.2764,"implement, find, add, function, route, code, class, type, program, call",Class Veins::VeinsInetManager not found
1351,1.0,0.3194,"file, set, parameter, number, module, trace, generate, script, random, position",OMNET++ 4.2.2 .gdbinit: No such file or directory
1352,6.0,0.3194,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Cannot compile 5.1.1 in Win10 x64
1353,5.0,0.2412,"omnet, inet, make, project, build, link, error, library, fail, command",Storing packets in intervals using Omnet++
1354,7.0,0.2344,"implement, find, add, function, route, code, class, type, program, call",AODV Packet size in NS2 for IEEE 802.15.4 simulation
1355,6.0,0.2083,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu","""First defined here"" - omnetpp"
1356,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",802.11 in NS2.35
1357,0.0,0.2688,"packet, message, send, node, receive, application, multiple, datum, specific, server",clustering in network vanet +files mobility craeted with sumo+ns2
1358,0.0,0.3071,"packet, message, send, node, receive, application, multiple, datum, specific, server",Omnet++: Module Error: Ephemeral port range 1024..5000 exhausted
1359,3.0,0.2488,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Reduce the simulation time of a large scenario
1360,3.0,0.1875,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Error Veins shared libs
1361,3.0,0.2344,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",can anyone help wih castalia integration with omnet++?
1362,3.0,0.3194,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",how can I get the Id for a rsu in veins?
1363,3.0,0.2344,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",How to know each node state/statistics om veins/omnet?
1364,4.0,0.2981,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Calculate average packet travel speed in NS2 using AWK
1365,2.0,0.3422,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor","In ns-3 simulator when to use p2p nodes, wifistanodes and csmanodes"
1366,6.0,0.196,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Error when building veins_inet subproject
1367,4.0,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Stopped simulation without error
1368,6.0,0.2083,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",integrating cryptopp with simuLTE on omnetpp 4.6
1369,1.0,0.2431,"file, set, parameter, number, module, trace, generate, script, random, position",How to implement two dimensional arrays in tcl
1370,7.0,0.2344,"implement, find, add, function, route, code, class, type, program, call",adding TCP Jersey on NS2
1371,5.0,0.3875,"omnet, inet, make, project, build, link, error, library, fail, command",How to check the status of a link?
1372,0.0,0.2614,"packet, message, send, node, receive, application, multiple, datum, specific, server",Cars following two different application layers
1373,6.0,0.2614,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Unable to make Omnet 5.0 in Ubuntu 16.04
1374,1.0,0.2764,"file, set, parameter, number, module, trace, generate, script, random, position",How to get the nodes in red color with tcl script in NS2
1375,3.0,0.2083,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed","How to properly use ""moduleDisplayString"" in Veins 4.4?"
1376,0.0,0.3322,"packet, message, send, node, receive, application, multiple, datum, specific, server",Sending and receiving a message between the wireless nodes under NS2
1377,5.0,0.2344,"omnet, inet, make, project, build, link, error, library, fail, command",Omnet++ / INET : How to get RSSI from 802.11 NIC?
1378,1.0,0.3229,"file, set, parameter, number, module, trace, generate, script, random, position",How to set up the position allocator when using Ramdomwaypoint model in NS-3
1379,2.0,0.2344,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor","invalid command name ""Queue/LTEQueue"""
1380,1.0,0.2875,"file, set, parameter, number, module, trace, generate, script, random, position",I cant read attributes with namespace (ns2) using JAXB to parse XML in Java
1381,0.0,0.2207,"packet, message, send, node, receive, application, multiple, datum, specific, server",I can not define a cbr agent in NS2 2.35
1382,2.0,0.2542,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How to trace the nodes movement time in ns3?
1383,7.0,0.2396,"implement, find, add, function, route, code, class, type, program, call",How to implement a cQueue as a priority Queue in Omnet++?
1384,6.0,0.1788,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",not able to sort list in tcl
1385,7.0,0.2764,"implement, find, add, function, route, code, class, type, program, call",Omnet++ inet::EtherAppCli not found
1386,5.0,0.253,"omnet, inet, make, project, build, link, error, library, fail, command",Run Omnet++ inside docker with x11 forwarding on windows. SSH not working
1387,6.0,0.2311,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",How to find the correct version of PyBindGen for Python Bindings
1388,2.0,0.2344,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",error in ns2 for vanet network alone network LTE
1389,3.0,0.2917,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed","Getting started with Omnet++, Veins, and Sumo"
1390,6.0,0.3071,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Errors while building ns-3 on Ubuntu 16.04
1391,1.0,0.2382,"file, set, parameter, number, module, trace, generate, script, random, position",How to get n number of vehicles for x sec of simulation using SUMO randomTrips script?
1392,1.0,0.2875,"file, set, parameter, number, module, trace, generate, script, random, position",Different parameters value in .ini file for different runs
1393,1.0,0.3579,"file, set, parameter, number, module, trace, generate, script, random, position","Omnet++, NED file, Can I access display parameters for each node created?"
1394,1.0,0.4062,"file, set, parameter, number, module, trace, generate, script, random, position",How to change module position through its display string from omnetpp.ini?
1395,4.0,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",How to simulate process delay in NS-3/ndnSIM?
1396,4.0,0.3137,"simulation, run, time, calculate, work, delay, distance, end, throughput, result","On running my first simulation of castalia, i get the following error"
1397,5.0,0.2513,"omnet, inet, make, project, build, link, error, library, fail, command",Can we connect two computers practically using OMNet++?
1398,0.0,0.3321,"packet, message, send, node, receive, application, multiple, datum, specific, server",Cross layer communication via Veins
1399,0.0,0.1875,"packet, message, send, node, receive, application, multiple, datum, specific, server",OMNeT++ cPacket as std::bitset to apply Reed-Solomon encoding
1400,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",Error in module during network setup:
1401,2.0,0.2344,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Is there a provision for PF in ns3 for wimax
1402,6.0,0.2066,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",omnet++: artery framework usage
1403,1.0,0.2542,"file, set, parameter, number, module, trace, generate, script, random, position",Can I use an if statement to compare a string parameter in the .ned file- omnet++?
1404,6.0,0.3431,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",omnet++ Installation Problems
1405,1.0,0.325,"file, set, parameter, number, module, trace, generate, script, random, position","How does NS2 generate the trace file? And what are the units of the parameters (energy, throughput, delay etc) we get?"
1406,2.0,0.2981,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",OMNET++ How to customize a wireless host that extends AODVRouter with RandomWP Mobility
1407,6.0,0.2303,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",How to append output of rescheduled procedure in a list
1408,4.0,0.2951,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Does OMNeT++ / INET consider computation times for e.g. checksum calculations
1409,1.0,0.3877,"file, set, parameter, number, module, trace, generate, script, random, position",How to analyse the trace file generated by ns2 using Visual Trace Analyser?
1410,5.0,0.2431,"omnet, inet, make, project, build, link, error, library, fail, command",How to build OMNeT++ network using LoRaWAN protocol?
1411,5.0,0.3764,"omnet, inet, make, project, build, link, error, library, fail, command",How to link a static library using WAF?
1412,1.0,0.3394,"file, set, parameter, number, module, trace, generate, script, random, position",local header files available in the project but make gives No such file or directory error
1413,2.0,0.2639,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor","What is the reason of error ""Floating point exception (core dumped)"""
1414,1.0,0.1986,"file, set, parameter, number, module, trace, generate, script, random, position",OMNET++ Wireless Communication with mobility
1415,7.0,0.2688,"implement, find, add, function, route, code, class, type, program, call","Running Veins from terminal, Class ""Veins::ObstacleControl"" not found"
1416,0.0,0.2614,"packet, message, send, node, receive, application, multiple, datum, specific, server",Messages not received by other vehicles because of building
1417,7.0,0.4434,"implement, find, add, function, route, code, class, type, program, call",OMNET++ How to retain all functions in AODVRouting class but override sendAODVPacket function only?
1418,4.0,0.2344,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Error in running castalia
1419,4.0,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result","omnet++ simulation crashes, when node shuts down"
1420,5.0,0.4038,"omnet, inet, make, project, build, link, error, library, fail, command",OMNeT++ Simulator doesnt update if I target static library to link
1421,4.0,0.2412,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Parallel Make in OMNET++ Eclipse IDE
1422,7.0,0.3137,"implement, find, add, function, route, code, class, type, program, call","OMNET++ Compound module returned ""unknown parameter routing TableModule """
1423,5.0,0.2917,"omnet, inet, make, project, build, link, error, library, fail, command",error while building omnet++ veins
1424,5.0,0.4287,"omnet, inet, make, project, build, link, error, library, fail, command",OMNeT++ Simulating a project that references INET: cannot load library libINET.dll
1425,6.0,0.3875,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",OMNET++ installation error in Windows 10
1426,3.0,0.2986,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",How to get acceleration of a vehicle in veins?
1427,4.0,0.2764,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Run time error in castalia during network initialization
1428,6.0,0.2205,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",C++ clarification
1429,0.0,0.2715,"packet, message, send, node, receive, application, multiple, datum, specific, server",ns2 rebroadcasting packet when timer is expired
1430,2.0,0.2083,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Castalia Memory Issue
1431,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",Omnet++ (Castalia)
1432,2.0,0.2513,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How to modify the behavior of a node in ns2 simulator?
1433,1.0,0.1875,"file, set, parameter, number, module, trace, generate, script, random, position",Flex-lexer error to build rapidnet stimulator
1434,3.0,0.2764,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Call flow of Veins
1435,2.0,0.2083,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",overtaking in VEINS Simulator
1436,2.0,0.4803,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",modelling wireless networks and mobile nodes
1437,5.0,0.3431,"omnet, inet, make, project, build, link, error, library, fail, command",error encountered in building vein-lte 1.3
1438,3.0,0.288,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",How to initiate a message transfer from an External program by sending the Id of the vehicle to veins
1439,0.0,0.4519,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to Send a broadcast packet in application layer in INET
1440,2.0,0.2764,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor","In INET, why does ARPTest example network take over 500 seconds to run?"
1441,3.0,0.2715,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Warning dst_ is no longer being supported in NS. dst_ 0xffffffff
1442,0.0,0.3523,"packet, message, send, node, receive, application, multiple, datum, specific, server",Reduce the rate of dropped packets in ns2
1443,6.0,0.2764,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",soulution for Patch Fastbroadcast in ns2.35
1444,6.0,0.2816,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Compiling error with omnet++5.1.1 and veins4.6
1445,3.0,0.1788,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Change the transmission range for the ns2 node
1446,2.0,0.1836,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How to clean completely ns2.35 in Ubuntu 15.04?
1447,4.0,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Average stats in ns2 simulation
1448,3.0,0.3018,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",OMNET++ tk-gui wrong icon placement
1449,0.0,0.3229,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to decapsulate a packet to get the UDPBasicApps packet name in AODVRouting.CC?
1450,1.0,0.3943,"file, set, parameter, number, module, trace, generate, script, random, position","Getting an error ""error while loading shared libraries: libmpi.so.1: cannot open shared object file: No such file or directory"""
1451,1.0,0.2614,"file, set, parameter, number, module, trace, generate, script, random, position",Awk file shows an error
1452,7.0,0.375,"implement, find, add, function, route, code, class, type, program, call",JVM Terminated error exit code=13 while opening Omnet++
1453,6.0,0.2303,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",OMNET++ how to access function or variables in another class
1454,4.0,0.2344,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Calculating throughput in lte network simulation in ns3
1455,4.0,0.4038,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Access the main OMNET++ simulation thread from a working/child thread
1456,1.0,0.2614,"file, set, parameter, number, module, trace, generate, script, random, position",tclPort.h:23:28: fatal error: tclUnixPort.h: No such file or directory
1457,1.0,0.2344,"file, set, parameter, number, module, trace, generate, script, random, position",OMNeT++ RNG not converging to mean
1458,1.0,0.3194,"file, set, parameter, number, module, trace, generate, script, random, position",writing proc avg in tcl script in NS2
1459,3.0,0.2344,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",OnOffApplication with TCP retransmission
1460,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",OMNET++ 5.1.1 and Qt
1461,2.0,0.1705,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",getSenderPos() function removal from the new versions of VEINS
1462,0.0,0.2212,"packet, message, send, node, receive, application, multiple, datum, specific, server","How to run only a specific period of simulation in veins,omnet?"
1463,0.0,0.3229,"packet, message, send, node, receive, application, multiple, datum, specific, server",Send packet to multiple out ports in a switch with NS3
1464,1.0,0.3194,"file, set, parameter, number, module, trace, generate, script, random, position",writing proc avg in tcl script in ns2_new
1465,4.0,0.2211,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",I cannot run my simulation program using omnet++ in Windows 7
1466,0.0,0.3194,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to pcap dropped packets with PointToPointHelper in NS3
1467,2.0,0.3229,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Simulate video dissemination with different bitrate on the network
1468,0.0,0.3229,"packet, message, send, node, receive, application, multiple, datum, specific, server",Simulate a continuous client-server communication in ns3
1469,6.0,0.2986,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",TDMA implementation using a variable
1470,5.0,0.233,"omnet, inet, make, project, build, link, error, library, fail, command",inetmanet building error in omnet++
1471,3.0,0.4896,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",I would like to re-enter the vehicles in VEINS after leaving scenario
1472,3.0,0.2025,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Is this the correct way to compute distance between two nodes in Omnet++/veins?
1473,3.0,0.3665,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Inconsistencies of the positions in a linear VEINS car flow
1474,3.0,0.2875,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",About vehicle number in VEINS
1475,0.0,0.2041,"packet, message, send, node, receive, application, multiple, datum, specific, server",How do i get the position of the nodes that are rebroadcasting the packet in veins/Omnet++?
1476,1.0,0.2344,"file, set, parameter, number, module, trace, generate, script, random, position",TCP NewJersey displayed RTT incorrect
1477,3.0,0.2083,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Switching off ObstacleShadowing in veins
1478,3.0,0.2212,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",what policy is based vehicle rerouting in case of accident?
1479,4.0,0.2207,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",How can I use wifi radio energy model?
1480,1.0,0.253,"file, set, parameter, number, module, trace, generate, script, random, position",What calls the initialize method in application CPP file in veins?
1481,0.0,0.1875,"packet, message, send, node, receive, application, multiple, datum, specific, server",how to get start to build a veins application
1482,7.0,0.2205,"implement, find, add, function, route, code, class, type, program, call",patch CBRP for ns2.35
1483,1.0,0.3523,"file, set, parameter, number, module, trace, generate, script, random, position",cant generate random number in omnetpp
1484,1.0,0.2205,"file, set, parameter, number, module, trace, generate, script, random, position",New configuration option and OMNET++ ini error checking
1485,1.0,0.2083,"file, set, parameter, number, module, trace, generate, script, random, position",Evaluate iot algorithms with cooja simulator
1486,2.0,0.3194,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Detecting an intruder in WSN in Castalia simulator
1487,7.0,0.2344,"implement, find, add, function, route, code, class, type, program, call",RXTXLostPackets count is non zero even when allowTxDuringRx=false
1488,5.0,0.2875,"omnet, inet, make, project, build, link, error, library, fail, command",Building Artery on Ubuntu fails
